"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"16.07.2024","0,7469","0,7502","0,7516","0,7437","","-0,40%"
"15.07.2024","0,7499","0,7488","0,7542","0,7474","","0,16%"
"12.07.2024","0,7487","0,7493","0,7538","0,7465","","-0,07%"
"11.07.2024","0,7492","0,7442","0,7514","0,7391","","0,69%"
"10.07.2024","0,7441","0,7456","0,7459","0,7382","","-0,20%"
"09.07.2024","0,7456","0,7525","0,7533","0,7440","","-0,92%"
"08.07.2024","0,7525","0,7512","0,7560","0,7505","","0,19%"
"05.07.2024","0,7511","0,7555","0,7613","0,7506","","-0,52%"
"04.07.2024","0,7550","0,7643","0,7648","0,7518","","-1,19%"
"03.07.2024","0,7641","0,7810","0,7811","0,7620","","-2,14%"
"02.07.2024","0,7808","0,7789","0,7842","0,7740","","0,26%"
"01.07.2024","0,7788","0,7695","0,7793","0,7659","","1,21%"
"28.06.2024","0,7695","0,7570","0,7705","0,7551","","1,66%"
"27.06.2024","0,7569","0,7595","0,7620","0,7545","","-0,34%"
"26.06.2024","0,7595","0,7505","0,7606","0,7501","","1,20%"
"25.06.2024","0,7505","0,7430","0,7513","0,7422","","1,04%"
"24.06.2024","0,7428","0,7477","0,7490","0,7407","","-0,68%"
"21.06.2024","0,7479","0,7505","0,7523","0,7469","","-0,33%"
"20.06.2024","0,7504","0,7491","0,7534","0,7420","","0,16%"
"19.06.2024","0,7492","0,7493","0,7556","0,7478","","-0,01%"
"18.06.2024","0,7493","0,7469","0,7504","0,7433","","0,32%"
"17.06.2024","0,7469","0,7410","0,7485","0,7403","","0,81%"
"14.06.2024","0,7409","0,7396","0,7425","0,7365","","0,19%"
"13.06.2024","0,7395","0,7479","0,7479","0,7394","","-1,06%"
"12.06.2024","0,7474","0,7398","0,7498","0,7361","","1,01%"
"11.06.2024","0,7399","0,7388","0,7408","0,7355","","0,15%"
"10.06.2024","0,7388","0,7361","0,7436","0,7333","","0,19%"
"07.06.2024","0,7374","0,7254","0,7380","0,7239","","1,65%"
"06.06.2024","0,7254","0,7308","0,7329","0,7232","","-0,74%"
"05.06.2024","0,7308","0,7303","0,7321","0,7257","","0,10%"
"04.06.2024","0,7301","0,7246","0,7316","0,7243","","0,79%"
"03.06.2024","0,7244","0,7244","0,7269","0,7199","","0,03%"
"31.05.2024","0,7242","0,7193","0,7261","0,7172","","0,67%"
"30.05.2024","0,7194","0,7178","0,7195","0,7177","","0,26%"
"29.05.2024","0,7175","0,7124","0,7193","0,7114","","0,72%"
"28.05.2024","0,7124","0,7139","0,7141","0,7088","","-0,18%"
"27.05.2024","0,7137","0,7139","0,7158","0,7117","","0,07%"
"24.05.2024","0,7132","0,7104","0,7147","0,7082","","0,41%"
"23.05.2024","0,7103","0,7114","0,7127","0,7080","","-0,13%"
"22.05.2024","0,7112","0,7078","0,7132","0,7074","","0,49%"
"21.05.2024","0,7077","0,7054","0,7082","0,7026","","0,34%"
"20.05.2024","0,7053","0,7064","0,7091","0,7036","","-0,14%"
"17.05.2024","0,7063","0,7099","0,7110","0,7060","","-0,58%"
"16.05.2024","0,7104","0,7116","0,7127","0,7072","","-0,15%"
"15.05.2024","0,7115","0,7092","0,7161","0,7086","","0,34%"
"14.05.2024","0,7091","0,7122","0,7135","0,7083","","-0,44%"
"13.05.2024","0,7122","0,7138","0,7141","0,7082","","-0,22%"
