Data,Fechamento,Variação,Variação (),Abertura,Máxima,Mínima,Volume
16 Jul 2024,11.09,-0.08,-0.67,11145,11175,11055,665694
15 Jul 2024,11.165,0.02,0.22,11.12,11215,11.12,399126
12 Jul 2024,11.14,0.05,0.45,11085,11215,11.07,658156
11 Jul 2024,11.09,0,0.05,11055,11.13,10985,1109044
10 Jul 2024,11.085,-0.09,-0.76,11.16,11.16,11,1046891
09 Jul 2024,11.17,-0.04,-0.36,11.22,11.3,11155,685034
08 Jul 2024,11.21,-0.02,-0.13,11.24,11.34,11205,523691
05 Jul 2024,11.225,-0.05,-0.44,11275,11325,11.17,815654
04 Jul 2024,11.275,-0.24,-2.08,11.39,11.4,11.27,515567
03 Jul 2024,11.515,-0.15,-1.29,11.66,11675,11495,847721
02 Jul 2024,11.665,-0.11,-0.89,11.79,11.87,11655,1110300
01 Jul 2024,11.77,0.18,1.55,11.56,11.79,11.54,1327577
28 Jun 2024,11.59,0.27,2.39,11345,11605,11315,1235439
27 Jun 2024,11.32,0.09,0.76,11.25,11.42,11185,992644
26 Jun 2024,11.235,0.14,1.22,11.1,11.28,11085,981411
25 Jun 2024,11.1,-0.01,-0.05,11145,11165,11045,714079
24 Jun 2024,11.105,-0.03,-0.27,11.14,11185,11.06,591993
21 Jun 2024,11.135,-0.1,-0.85,11215,11.3,11115,795424
20 Jun 2024,11.23,-0.07,-0.58,11.15,11255,11135,1173929
19 Jun 2024,11.295,0.02,0.18,11295,11415,11275,674412
18 Jun 2024,11.275,-0.01,-0.09,11295,11.37,11245,679604
17 Jun 2024,11.285,0.08,0.71,11.19,11325,11.19,449788
14 Jun 2024,11.205,-0.03,-0.27,11245,11.27,11.14,632877
13 Jun 2024,11.235,-0.12,-1.01,11.31,11.45,11175,1120049
12 Jun 2024,11.35,0.15,1.34,11.2,11435,11155,1656747
11 Jun 2024,11.2,-0.08,-0.67,11305,11.37,11.17,898840
10 Jun 2024,11.275,0.05,0.45,11.23,11.38,11.15,1265306
07 Jun 2024,11.225,0.35,3.22,10875,11.41,10.81,1512198
06 Jun 2024,10.875,-0.07,-0.64,10.94,10985,10845,659504
05 Jun 2024,10.945,0.08,0.69,10.87,10.95,10.81,698797
04 Jun 2024,10.87,0.08,0.79,10.81,10875,10775,507667
03 Jun 2024,10.785,-0.01,-0.09,10785,10885,10775,404962
31 Mai 2024,10.795,-0.03,-0.28,10.82,10.86,10.77,599237
29 Mai 2024,10.825,0.11,1.03,10.71,10.89,10.71,721402
28 Mai 2024,10.715,-0.01,-0.05,10.68,10715,10.59,624190
27 Mai 2024,10.72,-0.13,-1.15,10.86,10.86,10.7,446243
24 Mai 2024,10.845,0.11,1.02,10755,10.86,10.72,728231
23 Mai 2024,10.735,-0.05,-0.42,10.77,10.81,10725,1010792
22 Mai 2024,10.78,0.12,1.13,10.66,10795,10.66,718811
21 Mai 2024,10.66,-0.04,-0.37,10.7,10.7,10.63,377395
20 Mai 2024,10.7,0.03,0.28,10675,10.73,10655,419582
17 Mai 2024,10.67,0.06,0.57,10.6,10.68,10595,429769
16 Mai 2024,10.61,0.04,0.33,10.56,10.61,10.52,390285
15 Mai 2024,10.575,0.04,0.38,10.61,10.61,10.46,671276
