"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"16.07.2024","132.265,00","132.265,00","132.265,00","132.265,00","","-0,17%"
"15.07.2024","132.492,00","132.492,00","132.492,00","132.492,00","","0,34%"
"12.07.2024","132.045,00","132.045,00","132.045,00","132.045,00","","0,44%"
"11.07.2024","131.463,00","131.463,00","131.463,00","131.463,00","","0,82%"
"10.07.2024","130.400,00","130.400,00","130.400,00","130.400,00","","-0,02%"
"09.07.2024","130.420,00","130.420,00","130.420,00","130.420,00","","0,55%"
"08.07.2024","129.702,00","129.702,00","129.702,00","129.702,00","","0,09%"
"05.07.2024","129.584,00","129.200,00","129.200,00","129.200,00","0,39K","0,03%"
"04.07.2024","129.541,00","129.541,00","129.541,00","129.541,00","","0,29%"
"03.07.2024","129.166,00","129.835,00","129.950,00","129.695,00","0,85K","0,56%"
"02.07.2024","128.447,00","128.300,00","128.300,00","128.250,00","0,01K","0,25%"
"01.07.2024","128.127,00","128.127,00","128.127,00","128.127,00","","0,55%"
"28.06.2024","127.429,00","127.429,00","127.429,00","127.429,00","","-0,30%"
"27.06.2024","127.809,00","127.809,00","127.809,00","127.809,00","","1,25%"
"26.06.2024","126.227,00","126.227,00","126.227,00","126.227,00","","0,30%"
"25.06.2024","125.855,00","125.855,00","125.855,00","125.855,00","","-0,27%"
"24.06.2024","126.199,00","126.199,00","126.199,00","126.199,00","","0,91%"
"21.06.2024","125.066,00","125.066,00","125.066,00","125.066,00","","0,76%"
"20.06.2024","124.117,00","124.117,00","124.117,00","124.117,00","","0,13%"
"19.06.2024","123.952,00","123.952,00","123.952,00","123.952,00","","0,55%"
"18.06.2024","123.278,00","122.465,00","123.705,00","123.278,00","","0,35%"
"17.06.2024","122.843,00","122.843,00","122.843,00","122.843,00","","-0,48%"
"14.06.2024","123.441,00","122.465,00","123.705,00","123.441,00","","0,02%"
"13.06.2024","123.421,00","123.421,00","123.421,00","123.421,00","","1,25%"
"12.06.2024","121.897,00","123.860,00","124.705,00","121.330,00","185,59K","-1,46%"
"11.06.2024","123.709,00","122.465,00","123.850,00","122.350,00","50,88K","0,68%"
"10.06.2024","122.874,00","122.710,00","123.470,00","122.495,00","32,91K","0,05%"
"07.06.2024","122.808,00","124.130,00","124.250,00","122.810,00","0,97K","-1,85%"
"06.06.2024","125.122,00","124.435,00","125.450,00","124.310,00","0,41K","1,27%"
"05.06.2024","123.553,00","123.905,00","123.905,00","123.905,00","0,01K","-0,35%"
"04.06.2024","123.984,00","123.235,00","123.235,00","123.235,00","0,01K","-0,25%"
"03.06.2024","124.298,00","124.298,00","124.298,00","124.298,00","","-0,24%"
"31.05.2024","124.594,00","124.594,00","124.594,00","124.594,00","","-0,37%"
"29.05.2024","125.057,00","125.057,00","125.057,00","125.057,00","","-0,90%"
"28.05.2024","126.192,00","126.192,00","126.192,00","126.192,00","","-0,61%"
"27.05.2024","126.963,00","126.963,00","126.963,00","126.963,00","","0,08%"
"24.05.2024","126.859,00","126.859,00","126.859,00","126.859,00","","-0,34%"
"23.05.2024","127.297,00","127.297,00","127.297,00","127.297,00","","-0,72%"
"22.05.2024","128.224,00","128.224,00","128.224,00","128.224,00","","-1,48%"
"21.05.2024","130.154,00","130.154,00","130.154,00","130.154,00","","-0,35%"
"20.05.2024","130.616,00","130.616,00","130.616,00","130.616,00","","-0,37%"
"17.05.2024","131.099,00","131.099,00","131.099,00","131.099,00","","-0,09%"
"16.05.2024","131.214,00","131.214,00","131.214,00","131.214,00","","0,16%"
"15.05.2024","131.002,00","131.002,00","131.002,00","131.002,00","","-0,40%"
"14.05.2024","131.524,00","131.524,00","131.524,00","131.524,00","","0,18%"
"13.05.2024","131.287,00","131.287,00","131.287,00","131.287,00","","0,48%"
"10.05.2024","130.654,00","130.654,00","130.654,00","130.654,00","","-0,49%"
"09.05.2024","131.300,00","131.300,00","131.300,00","131.300,00","","-0,95%"
"08.05.2024","132.558,00","132.558,00","132.558,00","132.558,00","","0,11%"
"07.05.2024","132.410,00","132.410,00","132.410,00","132.410,00","","0,46%"
"06.05.2024","131.809,00","131.809,00","131.809,00","131.809,00","","-0,14%"
"03.05.2024","131.988,00","131.988,00","131.988,00","131.988,00","","1,13%"
"02.05.2024","130.515,00","130.515,00","130.515,00","130.515,00","","0,89%"
"30.04.2024","129.358,00","129.358,00","129.358,00","129.358,00","","-0,99%"
"29.04.2024","130.657,00","130.657,00","130.657,00","130.657,00","","0,61%"
"26.04.2024","129.870,00","129.870,00","129.870,00","129.870,00","","1,43%"
"25.04.2024","128.043,00","128.043,00","128.043,00","128.043,00","","-0,16%"
"24.04.2024","128.248,00","128.248,00","128.248,00","128.248,00","","-0,27%"
"23.04.2024","128.589,00","128.589,00","128.589,00","128.589,00","","-0,40%"
"22.04.2024","129.101,00","129.300,00","129.300,00","129.300,00","0,02K","0,21%"
"19.04.2024","128.832,00","128.832,00","128.832,00","128.832,00","","0,80%"
"18.04.2024","127.806,00","127.806,00","127.806,00","127.806,00","","1,51%"
"17.04.2024","125.907,00","126.805,00","127.170,00","125.270,00","136,93K","-0,16%"
"16.04.2024","126.108,00","127.110,00","127.110,00","125.465,00","48,33K","-0,84%"
"15.04.2024","127.180,00","128.270,00","128.270,00","126.815,00","6,05K","-0,46%"
"12.04.2024","127.762,00","129.135,00","129.135,00","127.600,00","0,67K","-1,14%"
"11.04.2024","129.237,00","129.915,00","129.935,00","129.070,00","0,12K","-0,55%"
"10.04.2024","129.948,00","129.948,00","129.948,00","129.948,00","","-1,55%"
"09.04.2024","131.998,00","131.998,00","131.998,00","131.998,00","","0,78%"
"08.04.2024","130.973,00","130.973,00","130.973,00","130.973,00","","1,66%"
"05.04.2024","128.829,00","128.829,00","128.829,00","128.829,00","","-0,61%"
"04.04.2024","129.621,00","129.621,00","129.621,00","129.621,00","","0,07%"
"03.04.2024","129.531,00","128.920,00","128.920,00","128.920,00","0,01K","-0,17%"
"02.04.2024","129.754,00","129.754,00","129.754,00","129.754,00","","0,39%"
"01.04.2024","129.249,00","129.270,00","129.270,00","129.270,00","2,10K","-0,98%"
"28.03.2024","130.525,00","130.525,00","130.525,00","130.525,00","","0,31%"
"27.03.2024","130.117,00","130.117,00","130.117,00","130.117,00","","0,56%"
"26.03.2024","129.396,00","129.396,00","129.396,00","129.396,00","","-0,03%"
"25.03.2024","129.437,00","129.437,00","129.437,00","129.437,00","","-0,07%"
"22.03.2024","129.525,00","129.525,00","129.525,00","129.525,00","","-1,00%"
"21.03.2024","130.832,00","130.832,00","130.832,00","130.832,00","","-0,77%"
"20.03.2024","131.853,00","131.853,00","131.853,00","131.853,00","","1,21%"
"19.03.2024","130.282,00","130.282,00","130.282,00","130.282,00","","0,50%"
"18.03.2024","129.633,00","129.633,00","129.633,00","129.633,00","","0,10%"
"15.03.2024","129.509,00","129.509,00","129.509,00","129.509,00","","-0,83%"
"14.03.2024","130.599,00","130.599,00","130.599,00","130.599,00","","-0,37%"
"13.03.2024","131.090,00","131.090,00","131.090,00","131.090,00","","0,30%"
"12.03.2024","130.699,00","130.699,00","130.699,00","130.699,00","","1,16%"
"11.03.2024","129.199,00","129.199,00","129.199,00","129.199,00","","-0,69%"
"08.03.2024","130.096,00","130.096,00","130.096,00","130.096,00","","-1,02%"
"07.03.2024","131.442,00","131.442,00","131.442,00","131.442,00","","-0,49%"
"06.03.2024","132.088,00","132.088,00","132.088,00","132.088,00","","0,56%"
"05.03.2024","131.346,00","131.346,00","131.346,00","131.346,00","","-0,20%"
"04.03.2024","131.615,00","131.615,00","131.615,00","131.615,00","","-0,71%"
"01.03.2024","132.556,00","132.556,00","132.556,00","132.556,00","","0,10%"
"29.02.2024","132.420,00","132.420,00","132.420,00","132.420,00","","-0,86%"
"28.02.2024","133.569,00","133.569,00","133.569,00","133.569,00","","-1,29%"
"27.02.2024","135.315,00","135.315,00","135.315,00","135.315,00","","1,59%"
"26.02.2024","133.194,00","133.194,00","133.194,00","133.194,00","","0,17%"
"23.02.2024","132.971,00","132.971,00","132.971,00","132.971,00","","-0,60%"
"22.02.2024","133.780,00","133.780,00","133.780,00","133.780,00","","0,05%"
"21.02.2024","133.716,00","133.716,00","133.716,00","133.716,00","","0,00%"
"20.02.2024","133.718,00","133.718,00","133.718,00","133.718,00","","0,76%"
"19.02.2024","132.714,00","132.200,00","132.200,00","132.200,00","1,60K","0,12%"
"16.02.2024","132.558,00","132.558,00","132.558,00","132.558,00","","0,75%"
"15.02.2024","131.566,00","131.566,00","131.566,00","131.566,00","","1,91%"
"14.02.2024","129.100,00","129.445,00","129.760,00","128.765,00","57,62K","-0,91%"
"09.02.2024","130.286,00","130.720,00","131.170,00","129.775,00","16,50K","-0,07%"
"08.02.2024","130.379,00","131.870,00","132.320,00","130.160,00","4,44K","-1,43%"
"07.02.2024","132.265,00","132.475,00","132.475,00","131.905,00","0,65K","-0,55%"
"06.02.2024","132.990,00","132.340,00","132.700,00","132.340,00","0,31K","2,32%"
"05.02.2024","129.971,00","129.720,00","130.220,00","129.720,00","0,10K","0,30%"
"02.02.2024","129.576,00","129.576,00","129.576,00","129.576,00","","-1,02%"
"01.02.2024","130.909,00","130.830,00","130.830,00","130.830,00","0,09K","0,50%"
"31.01.2024","130.254,00","130.254,00","130.254,00","130.254,00","","0,25%"
"30.01.2024","129.924,00","129.924,00","129.924,00","129.924,00","","-0,84%"
"29.01.2024","131.029,00","131.029,00","131.029,00","131.029,00","","-0,42%"
"26.01.2024","131.577,00","131.577,00","131.577,00","131.577,00","","0,54%"
"25.01.2024","130.871,00","130.871,00","130.871,00","130.871,00","","0,30%"
"24.01.2024","130.483,00","130.483,00","130.483,00","130.483,00","","-0,50%"
"23.01.2024","131.140,00","131.140,00","131.140,00","131.140,00","","1,40%"
"22.01.2024","129.328,00","129.150,00","129.150,00","129.150,00","0,01K","-0,98%"
"19.01.2024","130.606,00","129.950,00","129.950,00","129.950,00","0,01K","0,25%"
"18.01.2024","130.281,00","131.500,00","131.500,00","131.500,00","0,01K","-0,96%"
"17.01.2024","131.538,00","131.800,00","131.800,00","131.800,00","2,57K","-0,61%"
"16.01.2024","132.348,00","132.348,00","132.348,00","132.348,00","","-1,85%"
"15.01.2024","134.840,00","133.700,00","134.265,00","133.700,00","0,11K","0,43%"
"12.01.2024","134.267,00","134.267,00","134.267,00","134.267,00","","0,21%"
"11.01.2024","133.986,00","133.986,00","133.986,00","133.986,00","","-0,12%"
"10.01.2024","134.150,00","134.150,00","134.150,00","134.150,00","","-0,55%"
"09.01.2024","134.894,00","135.150,00","135.150,00","135.150,00","0,05K","-0,81%"
"08.01.2024","135.994,00","135.994,00","135.994,00","135.994,00","","0,29%"
"05.01.2024","135.605,00","135.605,00","135.605,00","135.605,00","","0,61%"
"04.01.2024","134.789,00","134.789,00","134.789,00","134.789,00","","-1,30%"
"03.01.2024","136.568,00","136.568,00","136.568,00","136.568,00","","0,12%"
"02.01.2024","136.406,00","136.406,00","136.406,00","136.406,00","","-1,16%"
"28.12.2023","138.003,00","137.700,00","137.700,00","137.700,00","","-0,12%"
"27.12.2023","138.173,00","137.700,00","137.700,00","137.695,00","0,11K","0,42%"
"26.12.2023","137.589,00","137.589,00","137.589,00","137.589,00","","0,60%"
"22.12.2023","136.774,00","136.800,00","136.800,00","136.800,00","2,90K","0,37%"
"21.12.2023","136.276,00","135.600,00","135.600,00","135.600,00","0,11K","1,09%"
"20.12.2023","134.812,00","135.700,00","135.700,00","135.700,00","0,11K","-0,95%"
"19.12.2023","136.101,00","135.860,00","135.860,00","135.860,00","0,01K","0,50%"
"18.12.2023","135.422,00","135.560,00","135.700,00","135.560,00","5,18K","0,70%"
"15.12.2023","134.482,00","134.482,00","134.482,00","134.482,00","","-0,50%"
"14.12.2023","135.155,00","135.155,00","135.155,00","135.155,00","","2,50%"
"13.12.2023","131.863,00","128.470,00","132.305,00","128.320,00","157,98K","2,55%"
"12.12.2023","128.585,00","129.595,00","129.620,00","128.080,00","17,46K","-0,43%"
"11.12.2023","129.136,00","129.155,00","129.330,00","128.650,00","3,97K","-0,17%"
"08.12.2023","129.356,00","128.235,00","129.520,00","128.100,00","0,45K","0,85%"
"07.12.2023","128.266,00","128.820,00","128.820,00","128.820,00","0,04K","0,23%"
"06.12.2023","127.974,00","129.595,00","129.655,00","128.440,00","0,03K","-0,97%"
"05.12.2023","129.230,00","128.715,00","129.510,00","128.715,00","0,01K","-0,01%"
"04.12.2023","129.242,00","129.242,00","129.242,00","129.242,00","","-1,04%"
"01.12.2023","130.603,00","130.603,00","130.603,00","130.603,00","","0,56%"
"30.11.2023","129.878,00","129.895,00","129.895,00","129.660,00","15,01K","0,96%"
"29.11.2023","128.644,00","128.600,00","128.600,00","128.600,00","0,01K","-0,45%"
"28.11.2023","129.222,00","129.222,00","129.222,00","129.222,00","","0,61%"
"27.11.2023","128.437,00","128.040,00","128.040,00","127.740,00","0,04K","0,16%"
"24.11.2023","128.236,00","128.305,00","128.305,00","128.215,00","0,09K","-0,91%"
"23.11.2023","129.417,00","129.417,00","129.417,00","129.417,00","","0,49%"
"22.11.2023","128.780,00","128.780,00","128.780,00","128.780,00","","0,22%"
"21.11.2023","128.501,00","128.501,00","128.501,00","128.501,00","","-0,33%"
"20.11.2023","128.920,00","128.920,00","128.920,00","128.920,00","","0,90%"
"17.11.2023","127.768,00","127.768,00","127.768,00","127.768,00","","0,07%"
"16.11.2023","127.680,00","127.680,00","127.680,00","127.680,00","","1,03%"
"14.11.2023","126.376,00","126.376,00","126.376,00","126.376,00","","2,34%"
"13.11.2023","123.481,00","123.481,00","123.481,00","123.481,00","","-0,22%"
"10.11.2023","123.756,00","123.756,00","123.756,00","123.756,00","","1,39%"
"09.11.2023","122.054,00","122.054,00","122.054,00","122.054,00","","-0,17%"
"08.11.2023","122.263,00","122.263,00","122.263,00","122.263,00","","-0,21%"
"07.11.2023","122.517,00","122.517,00","122.517,00","122.517,00","","0,64%"
"06.11.2023","121.737,00","121.737,00","121.737,00","121.737,00","","0,06%"
"03.11.2023","121.667,00","121.667,00","121.667,00","121.667,00","","2,66%"
"01.11.2023","118.517,00","118.517,00","118.517,00","118.517,00","","1,75%"
"31.10.2023","116.474,00","116.474,00","116.474,00","116.474,00","","0,68%"
"30.10.2023","115.682,00","115.682,00","115.682,00","115.682,00","","-0,79%"
"27.10.2023","116.608,00","116.608,00","116.608,00","116.608,00","","-1,44%"
"26.10.2023","118.313,00","118.313,00","118.313,00","118.313,00","","1,70%"
"25.10.2023","116.337,00","116.337,00","116.337,00","116.337,00","","-0,96%"
"24.10.2023","117.467,00","117.467,00","117.467,00","117.467,00","","0,97%"
"23.10.2023","116.340,00","116.340,00","116.340,00","116.340,00","","-0,29%"
"20.10.2023","116.679,00","116.679,00","116.679,00","116.679,00","","-0,83%"
"19.10.2023","117.660,00","117.710,00","117.710,00","117.710,00","0,10K","1,60%"
"18.10.2023","115.811,00","117.380,00","117.385,00","115.705,00","156,90K","-1,66%"
"17.10.2023","117.764,00","118.175,00","118.825,00","117.435,00","25,14K","-0,64%"
"16.10.2023","118.521,00","118.520,00","118.890,00","117.970,00","4,20K","0,77%"
"13.10.2023","117.615,00","118.700,00","119.035,00","117.600,00","1,06K","-1,31%"
"11.10.2023","119.171,00","118.880,00","118.945,00","118.315,00","0,31K","0,23%"
"10.10.2023","118.894,00","118.700,00","118.900,00","118.700,00","0,38K","1,34%"
"09.10.2023","117.323,00","117.323,00","117.323,00","117.323,00","","0,84%"
"06.10.2023","116.344,00","116.344,00","116.344,00","116.344,00","","0,75%"
"05.10.2023","115.482,00","115.482,00","115.482,00","115.482,00","","-0,40%"
"04.10.2023","115.946,00","115.946,00","115.946,00","115.946,00","","0,18%"
"03.10.2023","115.736,00","116.400,00","116.400,00","116.400,00","0,02K","-1,48%"
"02.10.2023","117.475,00","117.475,00","117.475,00","117.475,00","","-1,38%"
"29.09.2023","119.121,00","119.121,00","119.121,00","119.121,00","","0,71%"
"28.09.2023","118.280,00","118.280,00","118.280,00","118.280,00","","1,36%"
"27.09.2023","116.692,00","116.692,00","116.692,00","116.692,00","","-0,12%"
"26.09.2023","116.830,00","117.300,00","117.300,00","117.300,00","0,20K","-1,53%"
"25.09.2023","118.643,00","118.643,00","118.643,00","118.643,00","","-0,09%"
"22.09.2023","118.744,00","118.744,00","118.744,00","118.744,00","","-0,06%"
"21.09.2023","118.820,00","118.820,00","118.820,00","118.820,00","","-2,24%"
"20.09.2023","121.541,00","121.541,00","121.541,00","121.541,00","","0,71%"
"19.09.2023","120.690,00","120.690,00","120.690,00","120.690,00","","-0,51%"
"18.09.2023","121.313,00","121.313,00","121.313,00","121.313,00","","-0,45%"
"15.09.2023","121.862,00","121.862,00","121.862,00","121.862,00","","-0,49%"
"14.09.2023","122.456,00","122.456,00","122.456,00","122.456,00","","0,88%"
"13.09.2023","121.388,00","121.388,00","121.388,00","121.388,00","","0,21%"
"12.09.2023","121.138,00","121.138,00","121.138,00","121.138,00","","0,81%"
"11.09.2023","120.168,00","120.168,00","120.168,00","120.168,00","","1,35%"
"08.09.2023","118.563,00","118.563,00","118.563,00","118.563,00","","-0,57%"
"06.09.2023","119.241,00","120.600,00","121.250,00","120.600,00","0,06K","-1,16%"
"05.09.2023","120.646,00","120.646,00","120.646,00","120.646,00","","-0,55%"
"04.09.2023","121.308,00","121.308,00","121.308,00","121.308,00","","0,02%"
"01.09.2023","121.288,00","121.288,00","121.288,00","121.288,00","","1,62%"
"31.08.2023","119.356,00","119.356,00","119.356,00","119.356,00","","-1,55%"
"30.08.2023","121.233,00","121.233,00","121.233,00","121.233,00","","-0,79%"
"29.08.2023","122.193,00","122.193,00","122.193,00","122.193,00","","1,01%"
"28.08.2023","120.969,00","120.969,00","120.969,00","120.969,00","","1,21%"
"25.08.2023","119.526,00","119.526,00","119.526,00","119.526,00","","-1,04%"
"24.08.2023","120.781,00","120.781,00","120.781,00","120.781,00","","-0,83%"
"23.08.2023","121.795,00","121.795,00","121.795,00","121.795,00","","1,43%"
"22.08.2023","120.074,00","120.074,00","120.074,00","120.074,00","","1,49%"
"21.08.2023","118.313,00","118.313,00","118.313,00","118.313,00","","-0,95%"
"18.08.2023","119.446,00","119.446,00","119.446,00","119.446,00","","0,33%"
"17.08.2023","119.050,00","119.050,00","119.050,00","119.050,00","","1,10%"
"16.08.2023","117.754,00","118.485,00","119.660,00","117.565,00","193,62K","-0,50%"
"15.08.2023","118.350,00","118.415,00","119.980,00","117.980,00","25,76K","-0,72%"
"14.08.2023","119.204,00","120.555,00","120.555,00","118.935,00","7,41K","-1,04%"
"11.08.2023","120.455,00","120.770,00","121.465,00","119.860,00","0,61K","-0,27%"
"10.08.2023","120.784,00","121.420,00","121.785,00","120.650,00","0,29K","-0,12%"
"09.08.2023","120.928,00","121.210,00","121.330,00","120.490,00","0,24K","-0,61%"
"08.08.2023","121.669,00","121.669,00","121.669,00","121.669,00","","-0,34%"
"07.08.2023","122.083,00","122.083,00","122.083,00","122.083,00","","-0,03%"
"04.08.2023","122.119,00","122.119,00","122.119,00","122.119,00","","-0,97%"
"03.08.2023","123.321,00","123.380,00","123.380,00","123.380,00","0,30K","-0,31%"
"02.08.2023","123.710,00","123.710,00","123.710,00","123.710,00","","-0,41%"
"01.08.2023","124.214,00","124.214,00","124.214,00","124.214,00","","-0,62%"
"31.07.2023","124.985,00","124.985,00","124.985,00","124.985,00","","1,40%"
"28.07.2023","123.262,00","123.262,00","123.262,00","123.262,00","","0,21%"
"27.07.2023","123.000,00","123.000,00","123.000,00","123.000,00","","-2,33%"
"26.07.2023","125.930,00","125.930,00","125.930,00","125.930,00","","0,47%"
"25.07.2023","125.343,00","125.343,00","125.343,00","125.343,00","","0,45%"
"24.07.2023","124.779,00","124.779,00","124.779,00","124.779,00","","0,92%"
"21.07.2023","123.640,00","123.640,00","123.640,00","123.640,00","","1,85%"
"20.07.2023","121.389,00","121.389,00","121.389,00","121.389,00","","0,36%"
"19.07.2023","120.956,00","120.956,00","120.956,00","120.956,00","","-0,29%"
"18.07.2023","121.309,00","121.309,00","121.309,00","121.309,00","","-0,41%"
"17.07.2023","121.813,00","121.813,00","121.813,00","121.813,00","","0,49%"
