Data Base,Tipo Titulo,Data Vencimento,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha,Preco Medio
2023-07-17,Tesouro IPCA+,15/05/2029,5.19,5.31,3075.78,3054.77,3054.77,3065.275
2023-07-18,Tesouro IPCA+,15/05/2029,5.17,5.29,3079.89,3058.87,3058.87,3069.38
2023-07-19,Tesouro IPCA+,15/05/2029,5.13,5.25,3087.4,3066.34,3066.34,3076.87
2023-07-20,Tesouro IPCA+,15/05/2029,5.16,5.28,3083.02,3062.0,3062.0,3072.51
2023-07-21,Tesouro IPCA+,15/05/2029,5.12,5.24,3090.73,3069.47,3069.47,3080.1
2023-07-24,Tesouro IPCA+,15/05/2029,5.09,5.21,3096.54,3075.46,3075.46,3086.0
2023-07-25,Tesouro IPCA+,15/05/2029,5.04,5.16,3105.78,3084.64,3084.64,3095.21
2023-07-26,Tesouro IPCA+,15/05/2029,5.05,5.17,3104.54,3083.45,3083.45,3093.995
2023-07-27,Tesouro IPCA+,15/05/2029,5.09,5.21,3098.41,3077.38,3077.38,3087.895
2023-07-28,Tesouro IPCA+,15/05/2029,5.04,5.16,3107.78,3086.53,3086.53,3097.155
2023-07-31,Tesouro IPCA+,15/05/2029,5.05,5.17,3106.76,3085.7,3085.7,3096.23
2023-08-01,Tesouro IPCA+,15/05/2029,5.03,5.15,3110.86,3089.78,3089.78,3100.32
2023-08-02,Tesouro IPCA+,15/05/2029,5.01,5.13,3114.96,3093.86,3093.86,3104.41
2023-08-03,Tesouro IPCA+,15/05/2029,4.98,5.1,3120.76,3099.64,3099.64,3110.2
2023-08-04,Tesouro IPCA+,15/05/2029,5.01,5.13,3116.49,3095.25,3095.25,3105.87
2023-08-07,Tesouro IPCA+,15/05/2029,4.98,5.1,3122.29,3101.18,3101.18,3111.7349999999997
2023-08-08,Tesouro IPCA+,15/05/2029,4.96,5.08,3126.39,3105.27,3105.27,3115.83
2023-08-09,Tesouro IPCA+,15/05/2029,4.95,5.07,3128.78,3107.66,3107.66,3118.2200000000003
