Data Base,Tipo Titulo,Data Vencimento,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha,Preco Medio
2023-07-17,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.54,5.66,4496.61,4425.5,4425.5,4461.055
2023-07-18,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.53,5.65,4503.63,4432.38,4432.38,4468.005
2023-07-19,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.53,5.65,4504.74,4433.49,4433.49,4469.115
2023-07-20,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.54,5.66,4499.93,4428.83,4428.83,4464.38
2023-07-21,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.46,5.58,4548.95,4476.41,4476.41,4512.68
2023-07-24,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.46,5.58,4550.06,4477.81,4477.81,4513.935
2023-07-25,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.42,5.54,4575.26,4502.44,4502.44,4538.85
2023-07-26,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.43,5.55,4569.97,4497.33,4497.33,4533.65
2023-07-27,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.5,5.62,4529.1,4457.47,4457.47,4493.285
2023-07-28,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.43,5.55,4572.36,4499.49,4499.49,4535.924999999999
2023-07-31,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.41,5.53,4585.54,4512.61,4512.61,4549.075
2023-08-01,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.4,5.52,4592.68,4519.61,4519.61,4556.145
2023-08-02,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.4,5.52,4593.76,4520.69,4520.69,4557.225
2023-08-03,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.37,5.49,4613.11,4539.6,4539.6,4576.355
2023-08-04,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.42,5.54,4584.03,4511.03,4511.03,4547.53
2023-08-07,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.41,5.53,4591.16,4518.25,4518.25,4554.705
2023-08-08,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.36,5.48,4622.69,4549.05,4549.05,4585.87
2023-08-09,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.36,5.48,4623.77,4550.13,4550.13,4586.950000000001
2023-08-10,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.3,5.42,4661.79,4587.27,4587.27,4624.530000000001
2023-08-11,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.28,5.4,4677.33,4602.06,4602.06,4639.695
2023-08-14,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.34,5.46,4519.27,4567.34,4567.34,4543.305
2023-08-15,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.3,5.42,4545.11,4470.49,4470.49,4507.799999999999
2023-08-16,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.28,5.4,4558.68,4483.76,4483.76,4521.22
2023-08-17,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.32,5.44,4535.04,4460.72,4460.72,4497.88
2023-08-18,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.33,5.45,4530.47,4455.86,4455.86,4493.165
2023-08-21,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.41,5.53,4482.74,4409.74,4409.74,4446.24
2023-08-22,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.41,5.53,4483.9,4410.9,4410.9,4447.4
2023-08-23,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.45,5.57,4460.91,4388.49,4388.49,4424.7
2023-08-24,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.51,5.63,4426.22,4354.66,4354.66,4390.4400000000005
2023-08-25,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.5,5.62,4433.75,4361.62,4361.62,4397.6849999999995
2023-08-28,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.49,5.61,4443.06,4371.03,4371.03,4407.045
2023-08-29,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.51,5.63,4432.47,4360.72,4360.72,4396.595
2023-08-30,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.48,5.6,4451.66,4379.48,4379.48,4415.57
2023-08-31,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.55,5.67,4411.43,4340.24,4340.24,4375.835
2023-09-01,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.63,5.75,4366.7,4295.9,4295.9,4331.299999999999
2023-09-04,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.59,5.71,4391.31,4320.67,4320.67,4355.99
2023-09-05,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.67,5.79,4346.23,4276.69,4276.69,4311.459999999999
2023-09-06,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.65,5.77,4359.44,4289.26,4289.26,4324.35
2023-09-08,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.64,5.76,4367.27,4296.58,4296.58,4331.925
2023-09-11,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.62,5.74,4380.19,4309.94,4309.94,4345.065
2023-09-12,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.63,5.75,4374.47,4304.42,4304.42,4339.445
2023-09-13,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.64,5.76,4369.95,4300.04,4300.04,4334.995
2023-09-14,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.63,5.75,4377.03,4306.97,4306.97,4342.0
2023-09-15,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.66,5.78,4362.28,4291.31,4291.31,4326.795
2023-09-18,Tesouro IPCA+ com Juros Semestrais,15/08/2050,5.66,5.78,4363.79,4293.9,4293.9,4328.844999999999
